,Year,Rating,Runtime(Mins),Censor,Total_Gross,main_genre,side_genre,dir_numeric,Value,Adjusted_Total
0,1977,8.6,121,1,322.74,6,3.7,267.61,60.60833333333333,532.5010312113296
1,1965,8.1,172,1,163.21,1,5.1,82.96333333333332,31.50833333333333,517.9899497487438
2,1967,7.6,78,1,141.84,0,2.2,89.76,33.35833333333334,425.20109917561825
3,1997,7.9,194,4,659.33,5,5.5,278.42571428571426,160.51666666666665,410.7548541169142
4,2015,7.8,138,1,936.66,6,3.8,366.5666666666666,237.01700000000002,395.18684313783393
5,1973,8.3,129,1,159.6,2,10.4,79.90499999999999,44.400000000000006,359.45945945945937
6,1965,7.9,197,16,111.72,5,5.53,78.27,31.50833333333333,354.5728643216081
7,2009,7.8,162,4,760.51,6,3.7,278.42571428571426,214.537,354.48896926870424
8,1980,8.7,124,4,290.48,6,3.7,130.55333333333334,82.40833333333332,352.48862372332906
9,1964,7.8,139,1,102.27,2,7.1,102.27,31.016666666666666,329.7259537882859
10,1972,9.2,175,16,134.97,10,5.0,54.845454545454544,41.81666666666667,322.7660422479075
11,1967,8.0,106,16,104.95,2,5.7,62.83888888888888,33.35833333333334,314.61403947039713
12,1983,8.3,131,1,309.13,6,3.7,309.13,99.60000000000001,310.3714859437751
13,2021,8.3,148,4,804.75,6,3.7,382.40250000000003,270.96975000000003,296.98887052890586
14,1978,7.2,110,16,188.76,2,0.51,81.20749999999998,65.23333333333333,289.36126724578435
15,1999,6.5,136,4,474.54,6,3.7,267.61,166.57500000000002,284.880684376407
16,1969,8.0,110,1,102.31,1,10.4,79.90499999999999,36.68333333333334,278.9004997728305
17,2018,7.3,134,4,700.06,6,3.8,275.31,251.10683333333338,278.7897050458602
18,1993,8.2,127,4,402.45,6,3.8,138.73962962962963,144.45833333333331,278.59244303432365
19,2015,6.9,124,4,652.27,6,3.8,220.16666666666666,237.01700000000002,275.1996692220389
20,1970,6.9,100,1,106.4,5,5.5,76.655,38.824999999999996,274.05022537025116
