,Year,Adjusted_Total,Runtime(Mins),Censor,Total_Gross,main_genre,side_genre,dir_numeric,Value,Rating
0,1977,532.5010312113296,121,1,322.74,6,3.7,267.61,60.60833333333333,8.6
1,1965,517.9899497487438,172,1,163.21,1,5.1,82.96333333333332,31.50833333333333,8.1
2,1967,425.20109917561825,78,1,141.84,0,2.2,89.76,33.35833333333334,7.6
3,1997,410.7548541169142,194,4,659.33,5,5.5,278.42571428571426,160.51666666666665,7.9
4,2015,395.18684313783393,138,1,936.66,6,3.8,366.5666666666666,237.01700000000002,7.8
5,1973,359.45945945945937,129,1,159.6,2,10.4,79.90499999999999,44.400000000000006,8.3
6,1965,354.5728643216081,197,16,111.72,5,5.53,78.27,31.50833333333333,7.9
7,2009,354.48896926870424,162,4,760.51,6,3.7,278.42571428571426,214.537,7.8
8,1980,352.48862372332906,124,4,290.48,6,3.7,130.55333333333334,82.40833333333332,8.7
9,1964,329.7259537882859,139,1,102.27,2,7.1,102.27,31.016666666666666,7.8
10,1972,322.7660422479075,175,16,134.97,10,5.0,54.845454545454544,41.81666666666667,9.2
11,1967,314.61403947039713,106,16,104.95,2,5.7,62.83888888888888,33.35833333333334,8.0
12,1983,310.3714859437751,131,1,309.13,6,3.7,309.13,99.60000000000001,8.3
13,2021,296.98887052890586,148,4,804.75,6,3.7,382.40250000000003,270.96975000000003,8.3
14,1978,289.36126724578435,110,16,188.76,2,0.51,81.20749999999998,65.23333333333333,7.2
15,1999,284.880684376407,136,4,474.54,6,3.7,267.61,166.57500000000002,6.5
16,1969,278.9004997728305,110,1,102.31,1,10.4,79.90499999999999,36.68333333333334,8.0
17,2018,278.7897050458602,134,4,700.06,6,3.8,275.31,251.10683333333338,7.3
18,1993,278.59244303432365,127,4,402.45,6,3.8,138.73962962962963,144.45833333333331,8.2
19,2015,275.1996692220389,124,4,652.27,6,3.8,220.16666666666666,237.01700000000002,6.9
20,1970,274.05022537025116,100,1,106.4,5,5.5,76.655,38.824999999999996,6.9
21,1981,272.9282375584273,115,16,248.16,6,3.0,138.73962962962963,90.925,8.4
22,2012,271.4706073440534,143,4,623.28,6,3.8,369.26666666666665,229.5939166666667,8.0
23,1975,259.91947971508205,100,4,139.88,2,8.1,139.88,53.81666666666667,7.4
24,1973,259.00900900900893,110,1,115.0,2,5.0,267.61,44.400000000000006,7.4
25,2017,253.01120031549226,152,4,620.18,6,3.7,171.522,245.11958333333334,6.9
26,2008,248.42256824700132,152,4,534.86,6,10.4,187.57454545454547,215.3025,9.0
27,2018,242.35899593864758,118,4,608.58,0,3.6,239.20400000000004,251.10683333333338,7.6
28,1974,242.352543518675,93,16,119.5,2,4.0,46.03000000000001,49.30833333333334,7.7
29,1974,235.25435186750042,165,1,116.0,6,8.52,116.0,49.30833333333334,7.0
30,1964,232.13326168726493,170,1,72.0,5,0.5,72.0,31.016666666666666,7.8
31,1984,229.7096101395797,105,4,238.63,6,2.5,81.21249999999999,103.88333333333333,7.8
32,1984,225.98427723407667,105,16,234.76,6,10.3,77.55199999999999,103.88333333333333,7.3
33,2002,224.4391938846421,121,1,403.71,6,3.8,124.726,179.875,7.4
34,1994,222.80317085511888,142,4,330.25,5,5.5,129.74625,148.22500000000002,8.8
35,2016,221.7315039727346,133,4,532.18,6,3.8,244.36666666666665,240.01099999999997,7.8
36,1990,218.7078257541935,103,1,285.76,2,0.5,119.69,130.65833333333333,7.7
37,1977,217.94032723772864,138,1,132.09,5,7.5,138.73962962962963,60.60833333333333,7.6
38,2019,212.64393855188374,118,1,543.64,0,5.2,234.0025,255.65741666666668,6.8
39,1970,210.1738570508693,116,16,81.6,2,5.9,28.06625,38.824999999999996,7.4
40,2006,209.98883882435612,151,6,423.32,6,3.7,152.93800000000002,201.5916666666667,7.3
41,1977,209.11315825656538,96,1,126.74,6,2.2,99.46000000000001,60.60833333333333,6.9
42,1975,208.1139671724992,133,16,112.0,5,5.0,39.17,53.81666666666667,8.7
43,1976,206.01552203836576,120,1,117.24,5,2.5,80.614,56.90833333333334,8.1
44,1978,205.75370464997445,143,1,134.22,6,3.8,73.61999999999999,65.23333333333333,7.4
45,2003,205.39977349943376,201,1,377.85,6,5.2,164.73624999999998,183.95833333333334,9.0
46,1989,202.62705028233395,126,1,251.19,6,3.0,105.07529411764706,123.96666666666665,7.5
47,1972,202.21602231964923,117,1,84.56,6,5.2,84.56,41.81666666666667,7.1
48,1965,201.85136207352556,130,16,63.6,6,8.54,34.82333333333333,31.50833333333333,6.9
49,2019,201.51967688531104,141,4,515.2,6,3.7,366.5666666666666,255.65741666666668,6.5
50,1971,198.80633875282982,181,1,80.5,5,0.5,48.445,40.49166666666667,8.0
51,2004,197.78875849289682,127,1,373.59,6,3.8,124.726,188.88333333333335,7.4
52,2004,196.3010676784611,127,16,370.78,5,5.0,117.84400000000001,188.88333333333335,7.2
53,1985,195.79485590331583,116,1,210.61,3,2.8,129.74625,107.56666666666665,8.5
54,1996,195.19923493783875,145,4,306.17,6,3.8,112.40500000000002,156.84999999999997,7.0
55,2012,195.18809840707885,164,4,448.14,6,5.0,187.57454545454547,229.5939166666667,8.4
56,2005,194.71388948154464,140,1,380.26,6,3.7,267.61,195.2916666666667,7.6
57,2015,193.6612141745107,141,4,459.01,6,3.8,369.26666666666665,237.01700000000002,7.3
58,2002,190.43780403057679,179,4,342.55,6,5.2,164.73624999999998,179.875,8.8
59,2010,190.31851982637446,103,1,415.0,0,2.2,415.0,218.05550000000002,8.3
60,1963,188.66938775510204,192,16,57.78,1,2.53,30.93,30.625,7.0
61,2009,187.43153861571665,149,4,402.11,6,3.8,178.96230769230772,214.537,5.9
